OBJECTID,FEATTYPE,NAME,PERENNIAL,FEATREL,ATTRREL,PLANACC,SOURCE,CREATED,RETIRED,PID,SYMBOL,FEATWIDTH,ORIENTATN,TEXTNOTE,Id,RefFID,StepID,SHAPE_Leng,SHAPE_Area,ORIG_FID,RASTERVALU,POINT_X,POINT_Y,rain_1mm,art_nat,ARRIVE_MCP
9233,Bore,,,1/01/1979,1/01/1979,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,11,0,0,,0,0,0,0,0,0,7,-1104746.818,-2116416.688,25.94765854,1,0
0,,,,,,0,,,,0,0,0,0,,0,9807,8,0,0,0,6,-1329526.866,-2232962.186,22.88221169,0,0
2410,Windpump,MIDGEE MIDGEE WELL,,1/01/1985,1/01/1985,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,,0,0,0,0,0,0,6,-1335822.495,-2232648.644,22.8090477,1,0
0,,,,,,0,,,,0,0,0,0,,0,9807,9,0,0,0,6,-1329861.651,-2232053.469,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,9807,10,0,0,0,6,-1329866.215,-2231099.239,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,21743,1,0,0,0,6,-1330019.63,-2230825.719,22.88221169,0,0
4563,Lake,,Perennial,4/06/2000,4/06/2000,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3606031,10,0,0,,0,0,0,0.008421477,3.78505E-06,484,6,-1330142.641,-2230678.243,22.88221169,0,0
5320,Water Tank,CHINGEECHINCOOLA DAM,,1/01/1985,1/01/1985,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,86,0,0,,0,0,0,0,0,0,8,-1350738.564,-2230613.669,22.68686104,1,0
0,,,,,,0,,,,0,0,0,0,,0,32442,1,0,0,0,6,-1330248.46,-2230494.28,22.88221169,0,0
7324,Windpump,NANANAH WELL,,1/01/1985,1/01/1985,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,disused,0,0,0,0,0,0,6,-1324897.923,-2230425.545,22.88221169,1,0
0,,,,,,0,,,,0,0,0,0,,0,19386,1,0,0,0,6,-1330442.112,-2230159.305,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,15217,1,0,0,0,6,-1330457.947,-2230043.492,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,33380,5,0,0,0,6,-1330688.84,-2230039.224,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,33933,1,0,0,0,6,-1330326.535,-2229967.652,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,13532,1,0,0,0,6,-1329976.587,-2229892.194,22.88221169,0,0
0,,,,,,0,,,,0,0,0,0,,0,26542,1,0,0,0,6,-1329850.54,-2229700.612,22.88221169,0,2
0,,,,,,0,,,,0,0,0,0,,0,3129,1,0,0,0,6,-1330831.037,-2229629.302,22.88221169,0,0
13088,Lake,,Perennial,4/06/2000,4/06/2000,100,GEOSCIENCE AUSTRALIA,5/09/2006,,3596065,10,0,0,,0,0,0,0.00729397,1.50785E-06,2226,6,-1345584.044,-2229465.093,22.68686104,0,0
0,,,,,,0,,,,0,0,0,0,,0,14664,2,0,0,0,6,-1329120.037,-2229382.516,22.88221169,0,2
2744,Windpump,WATTLE WELL,,1/01/1985,1/01/1985,100,GEOSCIENCE AUSTRALIA,5/09/2006,,0,434,0,0,disused,0,0,0,0,0,0,8,-1354917.666,-2229324.66,22.52233505,1,0
0,,,,,,0,,,,0,0,0,0,,0,18569,1,0,0,0,6,-1329697.395,-2229310.631,22.88221169,0,2
