X,Y,fcsubtype,fcsubtype_,full_name,displaynam,datefeatur,datefeat_1,accessleve,metadataid,featuretex,nameid,globalid,systemname,perenniali,perennia_1,origin,origin_des,hierarchyd,hierarchyu,waterpolyg,waterpol_1,salinityco,salinity_1,watercours,watercou_1,leftbankco,leftbank_1,rightbankc,rightban_1,capturemet,capturem_1,datasource,datasour_1,planaccura,spatialrel,attributer,targetdisp,targetdi_1,datacustod,datacust_1,area_m,area_ll,st_area_sh,st_perimet,distance,angle,fid,waterpoint,waterpoi_1,symbolrota,id,layer,path,ndays_1,colonised,TCZ
-1260213.22311989,-2269914.59556026,"1",WaterBody,De Grey River,De Grey River,"200702081913","201012171552","10",271.000000000000000,,"100045424",{60BC6612-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"2",MajorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,6076.605771559999084,0.000000530000000,0.000000526479134,0.010528834766686,0.000000000000000,272.563314885968623,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,23.000000000000000,"2","0"
-1330050.51204323,-2239083.25763121,"1",WaterBody,,,"200702081913","201010181601","10",271.000000000000000,,"-99",{607AAD6C-28D4-11DF-B0B6-001E0B884B88},"100045245","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"3",MinorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,1588.302906030000031,0.000000140000000,0.000000137318499,0.001539498758669,0.000000000000000,201.110793943533764,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,22.000000000000000,"2","0"
-840369.662257196,-1857463.22376155,"1",WaterBody,,,"200701251738","201012022306","10",256.000000000000000,,"-99",{410B9086-28D4-11DF-B0B6-001E0B884B88},"100000309","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19780101","19780101","50000",1:50000,"3",LANDGATE,901.527703719999977,0.000000080000000,0.000000076571800,0.001365134025758,0.000000000000000,263.377262834833516,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,40.000000000000000,"1","0"
-1005988.68874911,-1844889.57516278,"1",WaterBody,,,"200702071248","200905211059","0",53.000000000000000,,"-99",{559C73C6-28D4-11DF-B0B6-001E0B884B88},"-98","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,3954.236871709999832,0.000000340000000,0.000000335477688,0.002242637862325,0.000000000000000,216.000428090821970,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,33.000000000000000,,"0"
-851351.272565543,-1959687.13638102,"1",WaterBody,,,"200701251739","201010222108","10",263.000000000000000,,"-99",{42C10A32-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","4",Lake,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19930101","19930101","50000",1:50000,"3",LANDGATE,4360.164403239999956,0.000000370000000,0.000000372174607,0.002791875232766,0.000000000000000,249.955679705948029,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,33.000000000000000,,"0"
-893672.624046595,-1913653.13224872,"1",WaterBody,,,"200702071248","201111041800","0",56.000000000000000,,"-99",{55FC88A6-28D4-11DF-B0B6-001E0B884B88},"100206261","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"4",Scan_Vectorise,"8",1:100000TopographicSeriesByGA,"53.7","19840101","19840101","100000",1:100000,"3",LANDGATE,1703.693524640000078,0.000000150000000,0.000000145073058,0.002010000693436,0.000000000000000,310.839086134090394,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,34.000000000000000,,"0"
-859482.14912062,-1792421.20985425,"1",WaterBody,Townshend River,Townshend River,"200701251738","201109301853","10",256.000000000000000,,"100036507",{412F8C20-28D4-11DF-B0B6-001E0B884B88},"100031524","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19780101","19780101","50000",1:50000,"3",LANDGATE,12578.646621159999995,0.000001070000000,0.000001065058262,0.014811805481621,0.000000000000000,174.986705909136077,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,43.000000000000000,"1","0"
-1289147.78488856,-2274039.22806066,"1",WaterBody,Pear Creek,Pear Creek,"200702081913","201012171552","10",271.000000000000000,,"100045422",{610299DE-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"3",MinorRiver,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,8915.924951880000663,0.000000770000000,0.000000772540110,0.004567810782584,0.000000000000000,273.952281344251958,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,23.000000000000000,"2","0"
-828967.238925864,-1873457.32510223,"1",WaterBody,,,"200701251738","201012022306","10",256.000000000000000,,"-99",{41C54CE2-28D4-11DF-B0B6-001E0B884B88},"100139319","2",Perennial,"2",Natural,"9999","9999","5",Pool,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19780101","19780101","50000",1:50000,"3",LANDGATE,2894.673076879999826,0.000000250000000,0.000000246056898,0.002986211460351,0.000000000000000,192.547464153136417,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,40.000000000000000,"1","0"
-1232365.22767278,-2256323.8394975,"1",WaterBody,,,"200702081913","200904011256","10",271.000000000000000,,"-99",{60E85BA0-28D4-11DF-B0B6-001E0B884B88},"100045424","2",Perennial,"1",Manmade,"9999","9999","4",Lake,"-99",Unknown,"-99",Unknown,"-99",Unknown,"-99",Unknown,"1",DirectPhotogrammetricCapture,"16",1:50000TopographicSeriesByARMY,"13.4","19960101","19960101","50000",1:50000,"3",LANDGATE,31380.440375509999285,0.000002720000000,0.000002717113446,0.010595159934418,0.000000000000000,258.339536007207300,,,,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,24.000000000000000,,"0"
