X,Y,fcsubtype,fcsubtype_,full_name,displaynam,datefeatur,perenniali,perennia_1,origin,origin_des,waterpol_1,salinityco,salinity_1,watercours,watercou_1,waterpoint,waterpoi_1,layer,path,ndays_1,colonised,2021_pres,2022_pres,2023_pres
-456412.463043733,-2117416.33902777,"1",WaterBody,,,"200702071247","2",Perennial,"2",Natural,Pool,"-99",Unknown,"-99",Unknown,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,28.000000000000000,,,,
-586071.120201335,-1958891.65524051,"1",WaterBody,,,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
-588612.657695508,-1990948.84218836,"1",WaterBody,,,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,38.000000000000000,,,,
-551299.404403513,-1989707.93287437,"1",WaterBody,,,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,38.000000000000000,,,,
-429438.337319791,-1961074.79300964,"1",WaterBody,,,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,37.000000000000000,"1",,,
-576935.04969218,-1936864.54453496,"1",WaterBody,Little Gold River,Little Gold River,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
-513984.742682595,-2023188.83657759,"1",WaterBody,Willy Willy Creek,Willy Willy Creek,"200702071940","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,37.000000000000000,,,,
-518711.230964766,-1940701.79823284,"1",WaterBody,Fig Tree Pool,Fig Tree Pool,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,43.000000000000000,,,,
-590802.581330184,-1937215.01748611,"1",WaterBody,,,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"3",MinorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,40.000000000000000,,,,
-546082.061348221,-1960847.56961353,"1",WaterBody,O'Donnell River,O'Donnell River,"200702071939","2",Perennial,"2",Natural,Pool,"-99",Unknown,"2",MajorRiver,,,LGATE-016-filtered_points,/Users/293003c/Library/CloudStorage/OneDrive-Curtin/Projects/TCZ-research/water point GIS/Edited-layers/LGATE-016-filtered_points.shp,41.000000000000000,,,,
